Timestamp;Altimeter;Bank Angle;Brakes;Heading;Elevation;Engine1N1;Engine1N2;Engine2N1;Engine2N2;Flaps;Fuel;Gear;GpsAltitude;GS;IAS;Lat;Lon;OnGround;OAT;Pitch;RadioAltimeter;TAT;TAS;VS;WindDirection;WindSpeed
1652209677;5384;-0;both;355;1638;0;0;0;0;retracted;13325;down;1641;0;0;39,8627;-104,6774;True;13;0,5;2;13;0;0;110;12
1652209678;5384;-0;both;355;1638;0;0;0;0;retracted;13325;down;1641;0;0;39,8627;-104,6774;True;13;0,5;2;13;0;0;110;12
1652209679;5384;-0;both;355;1638;0;0;0;0;retracted;13325;down;1641;0;0;39,8627;-104,6774;True;13;0,5;2;13;0;0;110;12
1652209680;5384;-0;both;355;1638;0;0;0;0;retracted;13325;down;1641;0;0;39,8627;-104,6774;True;13;0,5;2;13;0;0;110;12
1652209681;5384;-0;both;355;1638;0;0;0;0;retracted;13325;down;1641;0;0;39,8627;-104,6774;True;13;0,5;2;13;0;0;110;12
1652209682;5384;-0;both;355;1638;0;0;0;0;retracted;13325;down;1641;0;0;39,8627;-104,6774;True;13;0,5;2;13;0;0;110;12
1652209683;5384;-0;both;355;1638;0;0;0;0;retracted;13325;down;1641;0;0;39,8627;-104,6774;True;13;0,5;2;13;0;0;110;12
1652209684;5384;-0;both;355;1638;0;0;0;0;retracted;13325;down;1641;0;0;39,8627;-104,6774;True;13;0,5;2;13;0;0;110;12
1652209685;5384;-0;both;355;1638;0;0;0;0;retracted;13325;down;1641;0;0;39,8627;-104,6774;True;13;0,5;2;13;0;0;110;12
1652209686;5384;-0;both;355;1638;0;0;0;0;retracted;13325;down;1641;0;0;39,8627;-104,6774;True;13;0,5;2;13;0;0;110;12
1652209687;5384;-0;both;355;1638;0;0;0;0;retracted;13325;down;1641;0;0;39,8627;-104,6774;True;13;0,5;2;13;0;0;110;12
1652209688;5384;-0;both;355;1638;0;0;0;0;retracted;13325;down;1641;0;0;39,8627;-104,6774;True;13;0,5;2;13;0;0;110;12
1652209689;5384;-0;both;355;1638;0;0;0;0;retracted;13325;down;1641;0;0;39,8627;-104,6774;True;13;0,5;2;13;0;0;110;12
1652209690;5384;-0;both;355;1638;0;0;0;0;retracted;13325;down;1641;0;0;39,8627;-104,6774;True;13;0,5;2;13;0;0;110;12
1652209691;5384;-0;both;355;1638;0;0;0;0;retracted;13325;down;1641;0;0;39,8627;-104,6774;True;13;0,5;2;13;0;0;110;12
1652209693;5384;-0;both;355;1638;0;0;0;0;retracted;13325;down;1641;0;0;39,8627;-104,6774;True;13;0,5;2;13;0;0;110;12
1652209694;5384;-0;both;355;1638;0;0;0;0;retracted;13325;down;1641;0;0;39,8627;-104,6774;True;13;0,5;2;13;0;0;110;12
1652209695;5384;-0;both;355;1638;0;0;0;0;retracted;13325;down;1641;0;0;39,8627;-104,6774;True;13;0,5;2;13;0;0;110;12
1652209696;5384;-0;both;355;1638;0;0;0;0;retracted;13325;down;1641;0;0;39,8627;-104,6774;True;13;0,5;2;13;0;0;110;12
1652209697;5384;-0;both;355;1638;0;0;0;0;retracted;13325;down;1641;0;0;39,8627;-104,6774;True;13;0,5;2;13;0;0;110;12
1652209698;5384;-0;both;355;1638;0;0;0;0;retracted;13325;down;1641;0;0;39,8627;-104,6774;True;13;0,5;2;13;0;0;110;12
1652209699;5384;-0;both;355;1638;0;0;0;0;retracted;13325;down;1641;0;0;39,8627;-104,6774;True;13;0,5;2;13;0;0;110;12
1652209700;5384;-0;both;355;1638;0;0;0;0;retracted;13325;down;1641;0;0;39,8627;-104,6774;True;13;0,5;2;13;0;0;110;12
1652209701;5384;-0;both;355;1638;0;0;0;0;retracted;13325;down;1641;0;0;39,8627;-104,6774;True;13;0,5;2;13;0;0;110;12
1652209702;5384;-0;both;355;1638;0;0;0;0;retracted;13325;down;1641;0;0;39,8627;-104,6774;True;13;0,5;2;13;0;0;110;12
1652209703;5384;-0;both;355;1638;0;0;0;0;retracted;13325;down;1641;0;0;39,8627;-104,6774;True;13;0,5;2;13;0;0;110;12
1652209704;5384;-0;both;355;1638;0;0;0;0;retracted;13325;down;1641;0;0;39,8627;-104,6774;True;13;0,5;2;13;0;0;110;12
1652209705;5384;-0;both;355;1638;0;0;0;0;retracted;13325;down;1641;0;0;39,8627;-104,6774;True;13;0,5;2;13;0;0;110;12
1652209706;5384;-0;both;355;1638;0;0;0;0;retracted;13325;down;1641;0;0;39,8627;-104,6774;True;13;0,5;2;13;0;0;110;12
1652209707;5384;-0;both;355;1638;0;0;0;0;retracted;13325;down;1641;0;0;39,8627;-104,6774;True;13;0,5;2;13;0;0;110;12
1652209708;5384;-0;both;355;1638;0;0;0;0;retracted;13325;down;1641;0;0;39,8627;-104,6774;True;13;0,5;2;13;0;0;110;12
1652209709;5384;-0;both;355;1638;0;0;0;0;retracted;13325;down;1641;0;0;39,8627;-104,6774;True;13;0,5;2;13;0;0;110;12
1652209710;5384;-0;both;355;1638;0;0;0;0;retracted;13325;down;1641;0;0;39,8627;-104,6774;True;13;0,5;2;13;0;0;110;12
1652209711;5384;-0;both;355;1638;0;0;0;0;retracted;13325;down;1641;0;0;39,8627;-104,6774;True;13;0,5;2;13;0;0;110;12
1652209712;5384;-0;both;355;1638;0;0;0;0;retracted;13325;down;1641;0;0;39,8627;-104,6774;True;13;0,5;2;13;0;0;110;12
1652209713;5384;-0;both;355;1638;0;0;0;0;retracted;13325;down;1641;0;0;39,8627;-104,6774;True;13;0,5;2;13;0;0;110;12
1652209714;5384;-0;both;355;1638;0;0;0;0;retracted;13325;down;1641;0;0;39,8627;-104,6774;True;13;0,5;2;13;0;0;110;12
1652209715;5384;-0;both;355;1638;0;0;0;0;retracted;13325;down;1641;0;0;39,8627;-104,6774;True;13;0,5;2;13;0;0;110;12
1652209716;5384;-0;both;355;1638;0;0;0;0;retracted;13325;down;1641;0;0;39,8627;-104,6774;True;13;0,5;2;13;0;0;110;12
1652209717;5384;-0;both;355;1638;0;0;0;0;retracted;13325;down;1641;0;0;39,8627;-104,6774;True;13;0,5;2;13;0;0;110;12
1652209718;5384;-0;both;355;1638;0;0;0;0;retracted;13325;down;1641;0;0;39,8627;-104,6774;True;13;0,5;2;13;0;0;110;12
1652209719;5384;-0;both;355;1638;0;0;0;0;retracted;13325;down;1641;0;0;39,8627;-104,6774;True;13;0,5;2;13;0;0;110;12
1652209720;5384;-0;both;355;1638;0;0;0;0;retracted;13325;down;1641;0;0;39,8627;-104,6774;True;13;0,5;2;13;0;0;110;12
1652209721;5384;-0;both;355;1638;0;0;0;0;retracted;13325;down;1641;0;0;39,8627;-104,6774;True;13;0,5;2;13;0;0;110;12
1652209722;5384;-0;both;355;1638;0;0;0;0;retracted;13325;down;1641;0;0;39,8627;-104,6774;True;13;0,5;2;13;0;0;110;12
1652209723;5384;-0;both;355;1638;0;0;0;0;retracted;13325;down;1641;0;0;39,8627;-104,6774;True;13;0,5;2;13;0;0;110;12
1652209724;5384;-0;both;355;1638;0;0;0;0;retracted;13325;down;1641;0;0;39,8627;-104,6774;True;13;0,5;2;13;0;0;110;12
1652209725;5384;-0;both;355;1638;0;0;0;0;retracted;13325;down;1641;0;0;39,8627;-104,6774;True;13;0,5;2;13;0;0;110;12
1652209726;5384;-0;both;355;1638;0;0;0;0;retracted;13325;down;1641;0;0;39,8627;-104,6774;True;13;0,5;2;13;0;0;110;12
1652209727;5384;-0;both;355;1638;0;0;0;0;retracted;13325;down;1641;0;0;39,8627;-104,6774;True;13;0,5;2;13;0;0;110;12
1652209728;5384;-0;both;355;1638;0;0;0;0;retracted;13325;down;1641;0;0;39,8627;-104,6774;True;13;0,5;2;13;0;0;110;12
